"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1042",9,0.222947368421053,0.048,0.274792243767313,"CO","Stapleton",1,9,1,0.222947368421053,0.048,0.274792243767313
"1043",3,0.207747368421053,0.144,0.291796610169491,"CO","South Park Hill",1,9,1,0.207747368421053,0.144,0.291796610169491
"1044",8,0.314189473684211,0.062,0.280828402366864,"CO","Harvey Park South",1,9,1,0.314189473684211,0.062,0.280828402366864
"1045",9,0.231831578947368,0.124,0.287706422018349,"CO","Cory - Merrill",1,9,1,0.231831578947368,0.124,0.287706422018349
"1046",6,0.32021052631579,0.152,0.336,"CO","Lincoln Park",1,9,1,0.32021052631579,0.152,0.336
"1047",8,0.327747368421053,0.07,0.27639175257732,"CO","Harvey Park",1,9,1,0.327747368421053,0.07,0.27639175257732
"1048",3,0.269978947368421,0.146,0.3352,"CO","Montclair",1,9,1,0.269978947368421,0.146,0.3352
"1049",8,0.345221052631579,0.116,0.27768115942029,"CO","Mar Lee",1,9,1,0.345221052631579,0.116,0.27768115942029
"1050",8,0.347494736842105,0.072,0.304,"CO","Horseshoe Park",1,9,1,0.347494736842105,0.072,0.304
"1051",9,0.0682526315789474,0.122,0.29763358778626,"CO","Wonderland Hills",1,9,1,0.0682526315789474,0.122,0.29763358778626
"1052",3,0.337852631578947,0.184,0.32,"CO","Capitol Hill",1,9,1,0.337852631578947,0.184,0.32
"1053",3,0.224715789473684,0.184,0.3392,"CO","Union Station",1,9,1,0.224715789473684,0.184,0.3392
"1054",8,0.362736842105263,0.13,0.277851037851038,"CO","Southeast Colorado Springs",1,9,1,0.362736842105263,0.13,0.277851037851038
"1055",9,0.124168421052632,0.042,0.314285714285714,"CO","Devil's Thumb",1,9,1,0.124168421052632,0.042,0.314285714285714
"1056",6,0.3568,0.116,0.344,"CO","Westwood",1,9,1,0.3568,0.116,0.344
"1057",6,0.2984,0.138,0.3464,"CO","Skyland",1,9,1,0.2984,0.138,0.3464
"1058",7,0.371242105263158,0.042,0.2992,"CO","Windsor",1,9,1,0.371242105263158,0.042,0.2992
"1059",8,0.345052631578947,0.118,0.283603603603604,"CO","East Colorado Springs",1,9,1,0.345052631578947,0.118,0.283603603603604
"1060",7,0.347915789473684,0.032,0.287247247247247,"CO","Heather Gardens",1,9,1,0.347915789473684,0.032,0.287247247247247
"1061",3,0.293642105263158,0.17,0.3352,"CO","Sunnyside",1,9,1,0.293642105263158,0.17,0.3352
"1062",6,0.358147368421053,0.14,0.3448,"CO","North Aurora",1,9,1,0.358147368421053,0.14,0.3448
"1063",6,0.30741052631579,0.042,0.3424,"CO","Spring Creek",1,9,1,0.30741052631579,0.042,0.3424
"1064",6,0.344673684210526,0.084,0.325542857142857,"CO","Ruby Hill",1,9,1,0.344673684210526,0.084,0.325542857142857
"1065",8,0.359536842105263,0.116,0.268596881959911,"CO","Dayton Triangle",1,9,1,0.359536842105263,0.116,0.268596881959911
"1066",7,0.252505263157895,0.032,0.2508,"CO","Saddle Rock Golf Club",1,9,1,0.252505263157895,0.032,0.2508
"1067",4,0.280463157894737,0.104,0,"CO","Goldsmith",1,9,1,0.280463157894737,0.104,0
"1068",8,0.367368421052632,0.124,0.299130434782609,"CO","Elyria Swansea",1,9,1,0.367368421052632,0.124,0.299130434782609
"1069",9,0.157347368421053,0.116,0.332,"CO","Washington Park",1,9,1,0.157347368421053,0.116,0.332
"1070",5,0.0425684210526316,0.142,0.3256,"CO","Country Club",1,9,1,0.0425684210526316,0.142,0.3256
"1071",8,0.330778947368421,0.11,0.276573787409701,"CO","Northeast Colorado Springs",1,9,1,0.330778947368421,0.11,0.276573787409701
"1072",1,0.299368421052632,0.012,0.250131004366812,"CO","Murphy Creek",1,9,1,0.299368421052632,0.012,0.250131004366812
"1073",8,0.36341052631579,0.084,0.29993993993994,"CO","Globeville",1,9,1,0.36341052631579,0.084,0.29993993993994
"1074",1,0.291578947368421,0.004,0.293853853853854,"CO","Southwest Colorado Springs",1,9,1,0.291578947368421,0.004,0.293853853853854
"1075",8,0.351873684210526,0.086,0.3168,"CO","Morris Heights",1,9,1,0.351873684210526,0.086,0.3168
"1076",8,0.306273684210526,0.128,0.282456140350877,"CO","Washington Virginia Vale",1,9,1,0.306273684210526,0.128,0.282456140350877
"1077",9,0.177473684210526,0.11,0.29763358778626,"CO","Old North Boulder",1,9,1,0.177473684210526,0.11,0.29763358778626
"1078",6,0.278947368421053,0.136,0.332,"CO","Baker",1,9,1,0.278947368421053,0.136,0.332
"1079",6,0.34,0.1,0.3256,"CO","Highland Park",1,9,1,0.34,0.1,0.3256
"1080",9,0.215410526315789,0.086,0.278157389635317,"CO","Lowry Field",1,9,1,0.215410526315789,0.086,0.278157389635317
"1081",6,0.311536842105263,0.074,0.3272,"CO","Village East",1,9,1,0.311536842105263,0.074,0.3272
"1082",7,0.3368,0.05,0.3192,"CO","Meadow Wood",1,9,1,0.3368,0.05,0.3192
"1083",8,0.350526315789474,0.09,0.293441955193483,"CO","College View - South Platte",1,9,1,0.350526315789474,0.09,0.293441955193483
"1084",9,0.223747368421053,0.124,0.3344,"CO","Majestic Heights",1,9,1,0.223747368421053,0.124,0.3344
"1085",8,0.373726315789474,0.108,0.275102040816327,"CO","Highline Villages",1,9,1,0.373726315789474,0.108,0.275102040816327
"1086",3,0.276126315789474,0.152,0.3312,"CO","University",1,9,1,0.276126315789474,0.152,0.3312
"1087",8,0.325010526315789,0.108,0.287247247247247,"CO","East Ridge - Ptarmigan Park",1,9,1,0.325010526315789,0.108,0.287247247247247
"1088",9,0.244421052631579,0.054,0.295095095095095,"CO","Tallyn's Reach",1,9,1,0.244421052631579,0.054,0.295095095095095
"1089",8,0.306526315789474,0.13,0.315075075075075,"CO","West Colfax",1,9,1,0.306526315789474,0.13,0.315075075075075
"1090",7,0.351747368421053,0.028,0.293953488372093,"CO","Meadow Hills",1,9,1,0.351747368421053,0.028,0.293953488372093
"1091",1,0.326989473684211,0.008,0.297617617617618,"CO","West Colorado Springs",1,9,1,0.326989473684211,0.008,0.297617617617618
"1092",4,0.392,0.126,0,"CO","City Center",1,9,1,0.392,0.126,0
"1093",9,0.222063157894737,0.018,0.284,"CO","Flying Horse",1,9,1,0.222063157894737,0.018,0.284
"1094",3,0.248505263157895,0.168,0.3336,"CO","West Highland",1,9,1,0.248505263157895,0.168,0.3336
"1095",6,0.329810526315789,0.086,0.3344,"CO","Overland",1,9,1,0.329810526315789,0.086,0.3344
"1096",9,0.234694736842105,0.098,0.296041666666667,"CO","Martin Acres",1,9,1,0.234694736842105,0.098,0.296041666666667
"1097",8,0.331578947368421,0.062,0.3048,"CO","Centre Pointe",1,9,1,0.331578947368421,0.062,0.3048
"1098",9,0.284884210526316,0.076,0.289682151589242,"CO","Hampden South",1,9,1,0.284884210526316,0.076,0.289682151589242
"1099",9,0.164378947368421,0.084,0.267405247813411,"CO","Dakota Ridge",1,9,1,0.164378947368421,0.084,0.267405247813411
"1100",6,0.308673684210526,0.036,0.3312,"CO","Prides Crossing",1,9,1,0.308673684210526,0.036,0.3312
"1101",8,0.347789473684211,0.078,0.267936507936508,"CO","Montbello",1,9,1,0.347789473684211,0.078,0.267936507936508
"1102",3,0.226063157894737,0.158,0.30343949044586,"CO","Congress Park",1,9,1,0.226063157894737,0.158,0.30343949044586
"1103",9,0.0696,0.12,0.334117647058824,"CO","Newlands",1,9,1,0.0696,0.12,0.334117647058824
"1104",9,0.160589473684211,0.096,0.3328,"CO","Catalpa Park",1,9,1,0.160589473684211,0.096,0.3328
"1105",6,0.331242105263158,0.078,0.3312,"CO","Pheasant Run",1,9,1,0.331242105263158,0.078,0.3312
"1106",8,0.348,0.1,0.296695652173913,"CO","Old Colorado City",1,9,1,0.348,0.1,0.296695652173913
"1107",9,0.246063157894737,0.102,0.3224,"CO","City Park",1,9,1,0.246063157894737,0.102,0.3224
"1108",8,0.329094736842105,0.088,0.26743961352657,"CO","Aurora Knolls - Hutchinson Heights",1,9,1,0.329094736842105,0.088,0.26743961352657
"1109",3,0.2792,0.18,0.34,"CO","Five Points",1,9,1,0.2792,0.18,0.34
"1110",8,0.349010526315789,0.054,0.263953488372093,"CO","Laredo Highline",1,9,1,0.349010526315789,0.054,0.263953488372093
"1111",9,0.0890105263157895,0.086,0.336,"CO","Hilltop",1,9,1,0.0890105263157895,0.086,0.336
"1112",9,0.247410526315789,0.124,0.3424,"CO","Parkside",1,9,1,0.247410526315789,0.124,0.3424
"1113",3,0.244631578947368,0.174,0.295186846038864,"CO","Platt Park",1,9,1,0.244631578947368,0.174,0.295186846038864
"1114",7,0.325347368421053,0.056,0.3192,"CO","Seven Hills",1,9,1,0.325347368421053,0.056,0.3192
"1115",6,0.349010526315789,0.086,0.332,"CO","Expo Park",1,9,1,0.349010526315789,0.086,0.332
"1116",4,0.359789473684211,0.056,0,"CO","Valverde",1,9,1,0.359789473684211,0.056,0
"1117",6,0.270231578947368,0.1,0.3344,"CO","East Aurora",1,9,1,0.270231578947368,0.1,0.3344
"1118",6,0.298484210526316,0.132,0.324,"CO","University Hills",1,9,1,0.298484210526316,0.132,0.324
"1119",6,0.344294736842105,0.062,0.3352,"CO","Indian Creek",1,9,1,0.344294736842105,0.062,0.3352
"1120",6,0.3296,0.082,0.3312,"CO","Summer Lake",1,9,1,0.3296,0.082,0.3312
"1121",8,0.310231578947368,0.128,0.299490254872564,"CO","Cheesman Park",1,9,1,0.310231578947368,0.128,0.299490254872564
"1122",8,0.347242105263158,0.064,0.258947368421053,"CO","Summer Valley",1,9,1,0.347242105263158,0.064,0.258947368421053
"1123",7,0.316042105263158,0.02,0.36,"CO","Sterling Hills",1,9,1,0.316042105263158,0.02,0.36
"1124",9,0.275747368421053,0.122,0.3168,"CO","Rosedale",1,9,1,0.275747368421053,0.122,0.3168
"1125",7,0.306652631578947,0.022,0.280645161290323,"CO","Fort Logan",1,9,1,0.306652631578947,0.022,0.280645161290323
"1126",8,0.348252631578947,0.104,0.276923076923077,"CO","Barnum West",1,9,1,0.348252631578947,0.104,0.276923076923077
"1127",8,0.361684210526316,0.106,0.312,"CO","Heather Ridge",1,9,1,0.361684210526316,0.106,0.312
"1128",9,0.238021052631579,0.11,0.300186915887851,"CO","Park East",1,9,1,0.238021052631579,0.11,0.300186915887851
"1129",9,0.1616,0.074,0.289312977099237,"CO","Wellshire",1,9,1,0.1616,0.074,0.289312977099237
